sample	contig	bgc_candidate_id	product_activity	protein_id	gene_start	gene_end	pfam_id	protein_id_1	clan	pfam	family	description	taxid	taxonomy
SRR6145058	k99_5041	k99_5041_146-2325.1	antibacterial	k99_5041_k99_5041_2	1077	2325	PF13347	0.59817	CL0015	MFS	MFS_2	MFS/sugar transport protein	1747	Cutibacterium acnes
SRR6145058	k99_5041	k99_5041_146-2325.1	antibacterial	k99_5041_k99_5041_2	1077	2325	PF11700	0.56006	CL0015	MFS	ATG22	Vacuole effluxer Atg22 like	1747	Cutibacterium acnes
SRR6145058	k99_8005	k99_8005_1-1285.1	antibacterial	k99_8005_k99_8005_1	1	1285	PF07690	0.61863	CL0015	MFS	MFS_1	Major Facilitator Superfamily	1747	Cutibacterium acnes
SRR6145058	k99_5796	k99_5796_638-1148.1	antibacterial	k99_5796_k99_5796_2	638	1148	PF00106	0.54217	CL0063	NADP_Rossmann	adh_short	short chain dehydrogenase	1747	Cutibacterium acnes
SRR6145058	k99_5796	k99_5796_638-1148.1	antibacterial	k99_5796_k99_5796_2	638	1148	PF08659	0.54795	CL0063	NADP_Rossmann	KR	KR domain	1747	Cutibacterium acnes
SRR6145058	k99_5796	k99_5796_638-1148.1	antibacterial	k99_5796_k99_5796_2	638	1148	PF01370	0.54448	CL0063	NADP_Rossmann	Epimerase	NAD dependent epimerase/dehydratase family	1747	Cutibacterium acnes
SRR6145058	k99_5796	k99_5796_638-1148.1	antibacterial	k99_5796_k99_5796_2	638	1148	PF13561	0.51721	CL0063	NADP_Rossmann	adh_short_C2	Enoyl-(Acyl carrier protein) reductase	1747	Cutibacterium acnes
SRR6145058	k99_5796	k99_5796_638-1148.1	antibacterial	k99_5796_k99_5796_2	638	1148	PF13460	0.52629	CL0063	NADP_Rossmann	NAD_binding_10	NAD(P)H-binding	1747	Cutibacterium acnes
SRR6145058	k99_1386	k99_1386_0-621.1	antibacterial	k99_1386_k99_1386_1	0	621	PF01212	0.52589	CL0061	PLP_aminotran	Beta_elim_lyase	Beta-eliminating lyase	1747	Cutibacterium acnes
SRR6145058	k99_7371	k99_7371_1-1290.1	antibacterial	k99_7371_k99_7371_1	1	385	PF00115	0.64636	NA	NA	COX1	Cytochrome C and Quinol oxidase polypeptide I	1747	Cutibacterium acnes
SRR6145058	k99_7371	k99_7371_1-1290.1	antibacterial	k99_7371_k99_7371_2	381	1290	PF00116	0.61008	CL0026	CU_oxidase	COX2	Cytochrome C oxidase subunit II, periplasmic domain	1747	Cutibacterium acnes
SRR6145058	k99_6742	k99_6742_842-2056.1	antibacterial	k99_6742_k99_6742_2	842	1787	PF02517	0.50323	CL0472	Peptidase_U	CPBP	CPBP intramembrane metalloprotease	1747	Cutibacterium acnes
SRR6145058	k99_6742	k99_6742_842-2056.1	antibacterial	k99_6742_k99_6742_3	1786	2056	PF01557	0.55891	CL0377	FAH	FAA_hydrolase	Fumarylacetoacetate (FAA) hydrolase family	1747	Cutibacterium acnes
SRR6145058	k99_6745	k99_6745_2-2428.1	antibacterial	k99_6745_k99_6745_1	2	437	PF02518	0.70953	CL0025	His_Kinase_A	HATPase_c	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase	1747	Cutibacterium acnes
SRR6145058	k99_6745	k99_6745_2-2428.1	antibacterial	k99_6745_k99_6745_2	441	1062	PF00072	0.68526	CL0304	CheY	Response_reg	Response regulator receiver domain	1747	Cutibacterium acnes
SRR6145058	k99_6745	k99_6745_2-2428.1	antibacterial	k99_6745_k99_6745_2	441	1062	PF08281	0.72326	CL0123	HTH	Sigma70_r4_2	Sigma-70, region 4	1747	Cutibacterium acnes
SRR6145058	k99_6745	k99_6745_2-2428.1	antibacterial	k99_6745_k99_6745_2	441	1062	PF00196	0.74647	CL0123	HTH	GerE	Bacterial regulatory proteins, luxR family	1747	Cutibacterium acnes
SRR6145058	k99_6745	k99_6745_2-2428.1	antibacterial	k99_6745_k99_6745_2	441	1062	PF04545	0.71002	CL0123	HTH	Sigma70_r4	Sigma-70, region 4	1747	Cutibacterium acnes
SRR6145058	k99_6745	k99_6745_2-2428.1	antibacterial	k99_6745_k99_6745_2	441	1062	PF14493	0.76601	CL0123	HTH	HTH_40	Helix-turn-helix domain	1747	Cutibacterium acnes
SRR6145058	k99_6745	k99_6745_2-2428.1	antibacterial	k99_6745_k99_6745_3	1357	1873	PF00300	0.67119	CL0071	His_phosphatase	His_Phos_1	Histidine phosphatase superfamily (branch 1)	1747	Cutibacterium acnes
SRR6145058	k99_6745	k99_6745_2-2428.1	antibacterial	k99_6745_k99_6745_4	1999	2428	PF03186	0.69333	CL0685	AmpE_CobD-like	CobD_Cbib	CobD/Cbib protein	1747	Cutibacterium acnes
SRR6145058	k99_1834	k99_1834_455-2483.1	antibacterial	k99_1834_k99_1834_2	455	1364	PF01694	0.50468	CL0207	Rhomboid-like	Rhomboid	Rhomboid family	1747	Cutibacterium acnes
SRR6145058	k99_1834	k99_1834_455-2483.1	antibacterial	k99_1834_k99_1834_3	1360	2260	PF08338	0.57986	NA	NA	DUF1731	Domain of unknown function (DUF1731)	1747	Cutibacterium acnes
SRR6145058	k99_1834	k99_1834_455-2483.1	antibacterial	k99_1834_k99_1834_3	1360	2260	PF01370	0.59878	CL0063	NADP_Rossmann	Epimerase	NAD dependent epimerase/dehydratase family	1747	Cutibacterium acnes
SRR6145058	k99_1834	k99_1834_455-2483.1	antibacterial	k99_1834_k99_1834_3	1360	2260	PF04321	0.55401	CL0063	NADP_Rossmann	RmlD_sub_bind	RmlD substrate binding domain	1747	Cutibacterium acnes
SRR6145058	k99_1834	k99_1834_455-2483.1	antibacterial	k99_1834_k99_1834_4	2327	2483	PF06532	0.52238	NA	NA	NrsF	Negative regulator of sigma F	1747	Cutibacterium acnes
SRR6145058	k99_4731	k99_4731_2-2539.1	antibacterial	k99_4731_k99_4731_1	2	1757	PF02687	0.54335	CL0404	BPD_transp_1	FtsX	FtsX-like permease family	1747	Cutibacterium acnes
SRR6145058	k99_4731	k99_4731_2-2539.1	antibacterial	k99_4731_k99_4731_2	1756	2539	PF00005	0.50414	CL0023	P-loop_NTPase	ABC_tran	ABC transporter	1747	Cutibacterium acnes
SRR6145058	k99_4731	k99_4731_2-2539.1	antibacterial	k99_4731_k99_4731_2	1756	2539	PF13555	0.49856	CL0023	P-loop_NTPase	AAA_29	P-loop containing region of AAA domain	1747	Cutibacterium acnes
SRR6145058	k99_1513	k99_1513_74-2271.1	antibacterial	k99_1513_k99_1513_1	74	944	PF02626	0.6998	CL0475	Cyclophil-like	CT_A_B	Carboxyltransferase domain, subdomain A and B	1747	Cutibacterium acnes
SRR6145058	k99_1513	k99_1513_74-2271.1	antibacterial	k99_1513_k99_1513_2	940	1561	PF02682	0.69663	CL0475	Cyclophil-like	CT_C_D	Carboxyltransferase domain, subdomain C and D	1747	Cutibacterium acnes
SRR6145058	k99_1513	k99_1513_74-2271.1	antibacterial	k99_1513_k99_1513_3	1557	2271	PF03746	0.67073	CL0158	GH_CE	LamB_YcsF	LamB/YcsF family	1747	Cutibacterium acnes
SRR6145058	k99_9897	k99_9897_700-1429.1	antibacterial	k99_9897_k99_9897_2	700	850	PF07223	0.54378	CL0214	UBA	DUF1421	UBA-like domain (DUF1421)	1747	Cutibacterium acnes
SRR6145058	k99_9897	k99_9897_700-1429.1	antibacterial	k99_9897_k99_9897_3	997	1429	PF00072	0.52571	CL0304	CheY	Response_reg	Response regulator receiver domain	1747	Cutibacterium acnes
SRR6145058	k99_11027	k99_11027_2-734.1	antibacterial	k99_11027_k99_11027_1	2	734	PF00962	0.50736	CL0034	Amidohydrolase	A_deaminase	Adenosine/AMP deaminase	1747	Cutibacterium acnes
SRR6145058	k99_5422	k99_5422_843-1005.1	antibacterial	k99_5422_k99_5422_1	843	1005	PF02615	0.52528	NA	NA	Ldh_2	Malate/L-lactate dehydrogenase	NA	NA
SRR6145058	k99_4032	k99_4032_102-2014.1	antibacterial	k99_4032_k99_4032_1	102	852	PF00300	0.54356	CL0071	His_phosphatase	His_Phos_1	Histidine phosphatase superfamily (branch 1)	1747	Cutibacterium acnes
SRR6145058	k99_4032	k99_4032_102-2014.1	antibacterial	k99_4032_k99_4032_2	943	2014	PF01522	0.52466	CL0158	GH_CE	Polysacc_deac_1	Polysaccharide deacetylase	1747	Cutibacterium acnes
SRR6145058	k99_4032	k99_4032_3003-3198.1	antibacterial	k99_4032_k99_4032_4	3003	3198	PF11021	0.57125	NA	NA	DUF2613	Protein of unknown function (DUF2613)	1747	Cutibacterium acnes
SRR6145058	k99_5424	k99_5424_0-2147.1	antibacterial	k99_5424_k99_5424_1	0	627	PF08545	0.9726	CL0046	Thiolase	ACP_syn_III	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III	1747	Cutibacterium acnes
SRR6145058	k99_5424	k99_5424_0-2147.1	antibacterial	k99_5424_k99_5424_1	0	627	PF02797	0.9692	CL0046	Thiolase	Chal_sti_synt_C	Chalcone and stilbene synthases, C-terminal domain	1747	Cutibacterium acnes
SRR6145058	k99_5424	k99_5424_0-2147.1	antibacterial	k99_5424_k99_5424_1	0	627	PF08541	0.96656	CL0046	Thiolase	ACP_syn_III_C	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal	1747	Cutibacterium acnes
SRR6145058	k99_5424	k99_5424_0-2147.1	antibacterial	k99_5424_k99_5424_2	709	955	PF00550	0.96764	CL0314	PP-binding	PP-binding	Phosphopantetheine attachment site	1747	Cutibacterium acnes
SRR6145058	k99_5424	k99_5424_0-2147.1	antibacterial	k99_5424_k99_5424_2	709	955	PF10501	0.92234	CL0314	PP-binding	Ribosomal_L50	Ribosomal subunit 39S	1747	Cutibacterium acnes
SRR6145058	k99_5424	k99_5424_0-2147.1	antibacterial	k99_5424_k99_5424_3	1028	2147	PF00109	0.92705	CL0046	Thiolase	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain	1747	Cutibacterium acnes
SRR6145058	k99_5424	k99_5424_0-2147.1	antibacterial	k99_5424_k99_5424_3	1028	2147	PF00108	0.93245	CL0046	Thiolase	Thiolase_N	Thiolase, N-terminal domain	1747	Cutibacterium acnes
SRR6145058	k99_5424	k99_5424_0-2147.1	antibacterial	k99_5424_k99_5424_3	1028	2147	PF02801	0.94057	CL0046	Thiolase	Ketoacyl-synt_C	Beta-ketoacyl synthase, C-terminal domain	1747	Cutibacterium acnes
SRR6145058	k99_10586	k99_10586_0-3301.1	antibacterial	k99_10586_k99_10586_1	0	825	PF01041	0.67482	CL0061	PLP_aminotran	DegT_DnrJ_EryC1	DegT/DnrJ/EryC1/StrS aminotransferase family	1747	Cutibacterium acnes
SRR6145058	k99_10586	k99_10586_0-3301.1	antibacterial	k99_10586_k99_10586_2	824	1817	PF01408	0.57694	CL0063	NADP_Rossmann	GFO_IDH_MocA	Oxidoreductase family, NAD-binding Rossmann fold	1747	Cutibacterium acnes
SRR6145058	k99_10586	k99_10586_0-3301.1	antibacterial	k99_10586_k99_10586_2	824	1817	PF02629	0.50715	CL0063	NADP_Rossmann	CoA_binding	CoA binding domain	1747	Cutibacterium acnes
SRR6145058	k99_10586	k99_10586_0-3301.1	antibacterial	k99_10586_k99_10586_2	824	1817	PF02894	0.58351	CL0139	GADPH_aa-bio_dh	GFO_IDH_MocA_C	Oxidoreductase family, C-terminal alpha/beta domain	1747	Cutibacterium acnes
SRR6145058	k99_10586	k99_10586_0-3301.1	antibacterial	k99_10586_k99_10586_3	1918	3301	PF04932	0.59185	CL0499	O-anti_assembly	Wzy_C	O-Antigen ligase	1747	Cutibacterium acnes
SRR6145058	k99_10144	k99_10144_2-649.1	antibacterial	k99_10144_k99_10144_1	2	293	PF03596	0.69255	CL0292	LysE	Cad	Cadmium resistance transporter	1234380	Cutibacterium acnes C1
SRR6145058	k99_10144	k99_10144_2-649.1	antibacterial	k99_10144_k99_10144_2	289	649	PF13545	0.71752	CL0123	HTH	HTH_Crp_2	Crp-like helix-turn-helix domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_10144	k99_10144_2-649.1	antibacterial	k99_10144_k99_10144_2	289	649	PF01978	0.70678	CL0123	HTH	TrmB	Sugar-specific transcriptional regulator TrmB	1234380	Cutibacterium acnes C1
SRR6145058	k99_10144	k99_10144_2-649.1	antibacterial	k99_10144_k99_10144_2	289	649	PF12802	0.71143	CL0123	HTH	MarR_2	MarR family	1234380	Cutibacterium acnes C1
SRR6145058	k99_10144	k99_10144_2-649.1	antibacterial	k99_10144_k99_10144_2	289	649	PF12840	0.70558	CL0123	HTH	HTH_20	Helix-turn-helix domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_10144	k99_10144_2-649.1	antibacterial	k99_10144_k99_10144_2	289	649	PF09339	0.71737	CL0123	HTH	HTH_IclR	IclR helix-turn-helix domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_10144	k99_10144_2-649.1	antibacterial	k99_10144_k99_10144_2	289	649	PF01022	0.67786	CL0123	HTH	HTH_5	Bacterial regulatory protein, arsR family	1234380	Cutibacterium acnes C1
SRR6145058	k99_10780	k99_10780_219-1431.1	antibacterial	k99_10780_k99_10780_2	219	1431	PF02894	0.5239	CL0139	GADPH_aa-bio_dh	GFO_IDH_MocA_C	Oxidoreductase family, C-terminal alpha/beta domain	1747	Cutibacterium acnes
SRR6145058	k99_10780	k99_10780_219-1431.1	antibacterial	k99_10780_k99_10780_2	219	1431	PF01408	0.4935	CL0063	NADP_Rossmann	GFO_IDH_MocA	Oxidoreductase family, NAD-binding Rossmann fold	1747	Cutibacterium acnes
SRR6145058	k99_8637	k99_8637_2-5308.1	antibacterial	k99_8637_k99_8637_1	2	1214	PF14698	0.7767	NA	NA	ASL_C2	Argininosuccinate lyase C-terminal	1747	Cutibacterium acnes
SRR6145058	k99_8637	k99_8637_2-5308.1	antibacterial	k99_8637_k99_8637_1	2	1214	PF00206	0.66575	NA	NA	Lyase_1	Lyase	1747	Cutibacterium acnes
SRR6145058	k99_8637	k99_8637_2-5308.1	antibacterial	k99_8637_k99_8637_2	1301	2498	PF00202	0.71743	CL0061	PLP_aminotran	Aminotran_3	Aminotransferase class-III	1747	Cutibacterium acnes
SRR6145058	k99_8637	k99_8637_2-5308.1	antibacterial	k99_8637_k99_8637_3	2508	3441	PF00696	0.52607	NA	NA	AA_kinase	Amino acid kinase family	1747	Cutibacterium acnes
SRR6145058	k99_8637	k99_8637_2-5308.1	antibacterial	k99_8637_k99_8637_4	3437	4247	PF01960	0.59224	CL0635	DmpA_ArgJ	ArgJ	ArgJ family	1747	Cutibacterium acnes
SRR6145058	k99_8637	k99_8637_2-5308.1	antibacterial	k99_8637_k99_8637_5	4258	5308	PF02774	0.509	CL0139	GADPH_aa-bio_dh	Semialdhyde_dhC	Semialdehyde dehydrogenase, dimerisation domain	1747	Cutibacterium acnes
SRR6145058	k99_8637	k99_8637_2-5308.1	antibacterial	k99_8637_k99_8637_5	4258	5308	PF01118	0.54294	CL0063	NADP_Rossmann	Semialdhyde_dh	Semialdehyde dehydrogenase, NAD binding domain	1747	Cutibacterium acnes
SRR6145058	k99_1516	k99_1516_2-4366.1	antibacterial	k99_1516_k99_1516_1	2	440	PF00291	0.64436	CL0063	NADP_Rossmann	PALP	Pyridoxal-phosphate dependent enzyme	1747	Cutibacterium acnes
SRR6145058	k99_1516	k99_1516_2-4366.1	antibacterial	k99_1516_k99_1516_2	985	1972	PF02358	0.57156	CL0137	HAD	Trehalose_PPase	Trehalose-phosphatase	1747	Cutibacterium acnes
SRR6145058	k99_1516	k99_1516_2-4366.1	antibacterial	k99_1516_k99_1516_3	2003	3407	PF00982	0.63477	CL0113	GT-B	Glyco_transf_20	Glycosyltransferase family 20	1747	Cutibacterium acnes
SRR6145058	k99_1516	k99_1516_2-4366.1	antibacterial	k99_1516_k99_1516_4	3463	4366	PF00296	0.75633	NA	NA	Bac_luciferase	Luciferase-like monooxygenase	1747	Cutibacterium acnes
SRR6145058	k99_3530	k99_3530_2-518.1	antibacterial	k99_3530_k99_3530_1	2	518	PF11457	0.61469	NA	NA	DUF3021	Protein of unknown function (DUF3021)	1747	Cutibacterium acnes
SRR6145058	k99_3530	k99_3530_6403-7225.1	antibacterial	k99_3530_k99_3530_7	6403	7225	PF00005	0.50152	CL0023	P-loop_NTPase	ABC_tran	ABC transporter	1747	Cutibacterium acnes
SRR6145058	k99_3530	k99_3530_6403-7225.1	antibacterial	k99_3530_k99_3530_7	6403	7225	PF01078	0.47288	CL0023	P-loop_NTPase	Mg_chelatase	Magnesium chelatase, subunit ChlI	1747	Cutibacterium acnes
SRR6145058	k99_3530	k99_3530_6403-7225.1	antibacterial	k99_3530_k99_3530_7	6403	7225	PF13555	0.50758	CL0023	P-loop_NTPase	AAA_29	P-loop containing region of AAA domain	1747	Cutibacterium acnes
SRR6145058	k99_3530	k99_3530_6403-7225.1	antibacterial	k99_3530_k99_3530_7	6403	7225	PF13401	0.54404	CL0023	P-loop_NTPase	AAA_22	AAA domain	1747	Cutibacterium acnes
SRR6145058	k99_3530	k99_3530_6403-7225.1	antibacterial	k99_3530_k99_3530_7	6403	7225	PF13304	0.53517	CL0023	P-loop_NTPase	AAA_21	AAA domain, putative AbiEii toxin, Type IV TA system	1747	Cutibacterium acnes
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_1	2	1208	PF00120	0.78366	CL0286	GCS	Gln-synt_C	Glutamine synthetase, catalytic domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_1	2	1208	PF03951	0.74451	NA	NA	Gln-synt_N	Glutamine synthetase, beta-Grasp domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_2	1278	2148	PF10708	0.75039	NA	NA	DUF2510	Protein of unknown function (DUF2510)	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_3	2551	3406	PF00557	0.71635	NA	NA	Peptidase_M24	Metallopeptidase family M24	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_5	3788	4304	PF02554	0.76302	CL0062	APC	CstA	Carbon starvation protein CstA	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_6	4300	6073	PF02554	0.7483	CL0062	APC	CstA	Carbon starvation protein CstA	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_6	4300	6073	PF13722	0.72733	NA	NA	CstA_5TM	5TM C-terminal transporter carbon starvation CstA	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_7	6069	6285	PF04328	0.74319	NA	NA	Sel_put	Selenoprotein, putative	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_8	6319	6940	PF01257	0.66986	CL0172	Thioredoxin	2Fe-2S_thioredx	Thioredoxin-like [2Fe-2S] ferredoxin	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_9	6936	7734	PF00005	0.73148	CL0023	P-loop_NTPase	ABC_tran	ABC transporter	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_9	6936	7734	PF00448	0.68467	CL0023	P-loop_NTPase	SRP54	SRP54-type protein, GTPase domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_9	6936	7734	PF13304	0.68602	CL0023	P-loop_NTPase	AAA_21	AAA domain, putative AbiEii toxin, Type IV TA system	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_9	6936	7734	PF13476	0.60615	CL0023	P-loop_NTPase	AAA_23	AAA domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_2-7734.1	antibacterial	k99_12019_k99_12019_9	6936	7734	PF13555	0.53814	CL0023	P-loop_NTPase	AAA_29	P-loop containing region of AAA domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_8761-10466.1	antibacterial	k99_12019_k99_12019_11	8761	9976	PF01497	0.53716	CL0043	Chelatase	Peripla_BP_2	Periplasmic binding protein	1234380	Cutibacterium acnes C1
SRR6145058	k99_12019	k99_12019_8761-10466.1	antibacterial	k99_12019_k99_12019_13	10268	10466	PF13384	0.6006	CL0123	HTH	HTH_23	Homeodomain-like domain	1234380	Cutibacterium acnes C1
SRR6145058	k99_11459	k99_11459_929-2980.1	antibacterial	k99_11459_k99_11459_2	929	2105	PF00498	0.54438	CL0357	SMAD-FHA	FHA	FHA domain	1747	Cutibacterium acnes
SRR6145058	k99_11459	k99_11459_929-2980.1	antibacterial	k99_11459_k99_11459_3	2251	2980	PF06283	0.56945	CL0014	Glutaminase_I	ThuA	Trehalose utilisation	1747	Cutibacterium acnes
SRR6145058	k99_7821	k99_7821_696-1164.1	antibacterial	k99_7821_k99_7821_2	696	1164	PF11575	0.67666	NA	NA	FhuF_C	FhuF 2Fe-2S C-terminal domain	1747	Cutibacterium acnes
SRR6145058	k99_12020	k99_12020_1423-2452.1	antibacterial	k99_12020_k99_12020_2	1423	2452	PF03186	0.56925	CL0685	AmpE_CobD-like	CobD_Cbib	CobD/Cbib protein	1747	Cutibacterium acnes
SRR6145058	k99_4860	k99_4860_1-2301.1	antibacterial	k99_4860_k99_4860_1	1	1207	PF04932	0.64816	CL0499	O-anti_assembly	Wzy_C	O-Antigen ligase	1747	Cutibacterium acnes
SRR6145058	k99_4860	k99_4860_1-2301.1	antibacterial	k99_4860_k99_4860_2	1203	2301	PF13524	0.6305	CL0113	GT-B	Glyco_trans_1_2	Glycosyl transferases group 1	1747	Cutibacterium acnes
SRR6145058	k99_4860	k99_4860_1-2301.1	antibacterial	k99_4860_k99_4860_2	1203	2301	PF00534	0.61604	CL0113	GT-B	Glycos_transf_1	Glycosyl transferases group 1	1747	Cutibacterium acnes
SRR6145058	k99_4860	k99_4860_1-2301.1	antibacterial	k99_4860_k99_4860_2	1203	2301	PF13692	0.64247	CL0113	GT-B	Glyco_trans_1_4	Glycosyl transferases group 1	1747	Cutibacterium acnes
SRR6145058	k99_10651	k99_10651_0-2524.1	antibacterial	k99_10651_k99_10651_1	0	231	PF01613	0.73888	CL0336	FMN-binding	Flavin_Reduct	Flavin reductase like domain	1747	Cutibacterium acnes
SRR6145058	k99_10651	k99_10651_0-2524.1	antibacterial	k99_10651_k99_10651_2	227	1415	PF01566	0.63318	CL0062	APC	Nramp	Natural resistance-associated macrophage protein	1747	Cutibacterium acnes
SRR6145058	k99_10651	k99_10651_0-2524.1	antibacterial	k99_10651_k99_10651_3	1516	2524	PF14248	0.65424	NA	NA	DUF4345	Domain of unknown function (DUF4345)	1747	Cutibacterium acnes
SRR6145058	k99_10651	k99_10651_0-2524.1	antibacterial	k99_10651_k99_10651_3	1516	2524	PF07730	0.71066	CL0025	His_Kinase_A	HisKA_3	Histidine kinase	1747	Cutibacterium acnes
SRR6145058	k99_6443	k99_6443_548-953.1	antibacterial	k99_6443_k99_6443_2	548	953	PF11253	0.67588	NA	NA	DUF3052	Protein of unknown function (DUF3052)	1747	Cutibacterium acnes
SRR6145058	k99_4609	k99_4609_0-132.1	antibacterial	k99_4609_k99_4609_1	0	132	PF04545	0.50723	CL0123	HTH	Sigma70_r4	Sigma-70, region 4	1747	Cutibacterium acnes
SRR6145058	k99_4609	k99_4609_0-132.1	antibacterial	k99_4609_k99_4609_1	0	132	PF09339	0.53886	CL0123	HTH	HTH_IclR	IclR helix-turn-helix domain	1747	Cutibacterium acnes
SRR6145058	k99_4609	k99_4609_0-132.1	antibacterial	k99_4609_k99_4609_1	0	132	PF13542	0.48451	CL0123	HTH	HTH_Tnp_ISL3	Helix-turn-helix domain of transposase family ISL3	1747	Cutibacterium acnes
