sample	contig	length
SRR6145059	k99_5765 	 13283
SRR6145059	k99_4030 	 13234
SRR6145059	k99_3962 	 13168
SRR6145059	k99_14259 	 13015
SRR6145059	k99_6349 	 12943
SRR6145059	k99_11741 	 12918
SRR6145059	k99_14811 	 12880
SRR6145059	k99_5849 	 12835
SRR6145059	k99_7091 	 12800
SRR6145059	k99_9865 	 12777
SRR6145059	k99_4924 	 12718
SRR6145059	k99_9094 	 12660
SRR6145059	k99_12002 	 12656
SRR6145059	k99_14784 	 12576
SRR6145059	k99_13760 	 12561
SRR6145059	k99_6696 	 12461
SRR6145059	k99_7019 	 12410
SRR6145059	k99_12369 	 12379
SRR6145059	k99_15662 	 12143
SRR6145059	k99_14054 	 12132
SRR6145059	k99_5190 	 12092
SRR6145059	k99_11435 	 11982
SRR6145059	k99_15147 	 11856
SRR6145059	k99_10938 	 11804
SRR6145059	k99_3871 	 11767
SRR6145059	k99_15401 	 11601
SRR6145059	k99_9183 	 11553
SRR6145059	k99_4896 	 11458
SRR6145059	k99_5790 	 11381
SRR6145059	k99_4867 	 11225
SRR6145059	k99_12662 	 11219
SRR6145059	k99_15543 	 11197
SRR6145059	k99_8836 	 11188
SRR6145059	k99_4464 	 11057
SRR6145059	k99_3621 	 11023
SRR6145059	k99_12005 	 11020
SRR6145059	k99_8348 	 10757
SRR6145059	k99_3508 	 10652
SRR6145059	k99_12094 	 10644
SRR6145059	k99_4607 	 10620
SRR6145059	k99_11245 	 10579
SRR6145059	k99_3774 	 10577
SRR6145059	k99_6449 	 10500
SRR6145059	k99_13745 	 10500
SRR6145059	k99_7483 	 10450
SRR6145059	k99_4892 	 10380
SRR6145059	k99_15216 	 10374
SRR6145059	k99_10132 	 10352
SRR6145059	k99_15743 	 10295
SRR6145059	k99_12691 	 10215
SRR6145059	k99_9717 	 10187
SRR6145059	k99_11592 	 10181
SRR6145059	k99_5038 	 10167
SRR6145059	k99_15577 	 10154
SRR6145059	k99_8732 	 9955
SRR6145059	k99_3765 	 9938
SRR6145059	k99_14946 	 9805
SRR6145059	k99_10031 	 9768
SRR6145059	k99_4254 	 9710
SRR6145059	k99_13003 	 9562
SRR6145059	k99_4462 	 9517
SRR6145059	k99_9270 	 9482
SRR6145059	k99_14931 	 9478
SRR6145059	k99_3605 	 9376
SRR6145059	k99_4786 	 9354
SRR6145059	k99_12346 	 9282
SRR6145059	k99_3778 	 9261
SRR6145059	k99_15114 	 9204
SRR6145059	k99_3216 	 9180
SRR6145059	k99_4379 	 9179
SRR6145059	k99_6911 	 9139
SRR6145059	k99_12442 	 9029
SRR6145059	k99_8573 	 9029
SRR6145059	k99_2957 	 9017
SRR6145059	k99_6196 	 8934
SRR6145059	k99_15247 	 8875
SRR6145059	k99_8583 	 8761
SRR6145059	k99_12608 	 8752
SRR6145059	k99_12099 	 8650
SRR6145059	k99_6193 	 8594
SRR6145059	k99_10052 	 8579
SRR6145059	k99_14051 	 8519
SRR6145059	k99_6470 	 8504
SRR6145059	k99_11266 	 8429
SRR6145059	k99_12874 	 8175
SRR6145059	k99_3796 	 8154
SRR6145059	k99_10540 	 8044
SRR6145059	k99_8067 	 8033
SRR6145059	k99_13243 	 7985
SRR6145059	k99_2457 	 7977
SRR6145059	k99_15710 	 7925
SRR6145059	k99_6738 	 7899
SRR6145059	k99_7738 	 7888
SRR6145059	k99_5130 	 7852
SRR6145059	k99_7142 	 7837
SRR6145059	k99_13347 	 7763
SRR6145059	k99_6397 	 7754
SRR6145059	k99_11924 	 7604
SRR6145059	k99_15765 	 7525
SRR6145059	k99_5925 	 7505
SRR6145059	k99_15389 	 7482
SRR6145059	k99_13825 	 7398
SRR6145059	k99_6307 	 7367
SRR6145059	k99_14205 	 7287
SRR6145059	k99_6833 	 7235
SRR6145059	k99_10777 	 7184
SRR6145059	k99_2237 	 7178
SRR6145059	k99_4497 	 7175
SRR6145059	k99_7234 	 7133
SRR6145059	k99_14472 	 7106
SRR6145059	k99_2157 	 7090
SRR6145059	k99_4934 	 7061
SRR6145059	k99_13407 	 7045
SRR6145059	k99_6545 	 6980
SRR6145059	k99_2378 	 6960
SRR6145059	k99_5124 	 6886
SRR6145059	k99_5915 	 6883
SRR6145059	k99_13135 	 6868
SRR6145059	k99_2312 	 6811
SRR6145059	k99_11013 	 6728
SRR6145059	k99_14888 	 6716
SRR6145059	k99_12176 	 6709
SRR6145059	k99_14877 	 6700
SRR6145059	k99_13044 	 6687
SRR6145059	k99_12054 	 6671
SRR6145059	k99_14706 	 6586
SRR6145059	k99_12232 	 6571
SRR6145059	k99_12921 	 6566
SRR6145059	k99_8733 	 6547
SRR6145059	k99_13674 	 6509
SRR6145059	k99_11476 	 6498
SRR6145059	k99_10054 	 6453
SRR6145059	k99_7514 	 6415
SRR6145059	k99_2448 	 6403
SRR6145059	k99_15444 	 6369
SRR6145059	k99_15485 	 6365
SRR6145059	k99_4009 	 6345
SRR6145059	k99_2253 	 6341
SRR6145059	k99_9396 	 6332
SRR6145059	k99_5110 	 6291
SRR6145059	k99_11524 	 6280
SRR6145059	k99_12076 	 6280
SRR6145059	k99_12585 	 6260
SRR6145059	k99_13321 	 6217
SRR6145059	k99_14111 	 6170
SRR6145059	k99_7739 	 6122
SRR6145059	k99_4980 	 6044
SRR6145059	k99_12481 	 5972
SRR6145059	k99_1897 	 5969
SRR6145059	k99_12125 	 5957
SRR6145059	k99_13110 	 5939
SRR6145059	k99_14565 	 5902
SRR6145059	k99_7206 	 5900
SRR6145059	k99_10832 	 5875
SRR6145059	k99_5032 	 5871
SRR6145059	k99_2269 	 5842
SRR6145059	k99_12036 	 5824
SRR6145059	k99_12872 	 5775
SRR6145059	k99_6784 	 5772
SRR6145059	k99_12959 	 5678
SRR6145059	k99_7773 	 5666
SRR6145059	k99_8204 	 5637
SRR6145059	k99_13319 	 5635
SRR6145059	k99_12634 	 5633
SRR6145059	k99_4692 	 5582
SRR6145059	k99_2339 	 5560
SRR6145059	k99_10146 	 5530
SRR6145059	k99_15363 	 5514
SRR6145059	k99_2808 	 5514
SRR6145059	k99_3289 	 5513
SRR6145059	k99_15678 	 5497
SRR6145059	k99_15766 	 5485
SRR6145059	k99_7341 	 5465
SRR6145059	k99_7168 	 5456
SRR6145059	k99_3323 	 5445
SRR6145059	k99_12272 	 5423
SRR6145059	k99_11682 	 5421
SRR6145059	k99_14541 	 5311
SRR6145059	k99_10288 	 5299
SRR6145059	k99_11148 	 5295
SRR6145059	k99_15512 	 5288
SRR6145059	k99_8495 	 5274
SRR6145059	k99_1895 	 5270
SRR6145059	k99_3501 	 5267
SRR6145059	k99_7463 	 5259
SRR6145059	k99_3809 	 5246
SRR6145059	k99_13865 	 5147
SRR6145059	k99_14186 	 5141
SRR6145059	k99_12060 	 5098
SRR6145059	k99_9037 	 5096
SRR6145059	k99_15184 	 5088
SRR6145059	k99_11864 	 5076
SRR6145059	k99_9409 	 5075
SRR6145059	k99_5483 	 5071
SRR6145059	k99_13827 	 5042
SRR6145059	k99_7861 	 5018
SRR6145059	k99_2577 	 5008
SRR6145059	k99_10576 	 4979
SRR6145059	k99_7751 	 4958
SRR6145059	k99_2668 	 4954
SRR6145059	k99_6056 	 4950
SRR6145059	k99_7796 	 4931
SRR6145059	k99_15405 	 4925
SRR6145059	k99_4633 	 4898
SRR6145059	k99_6232 	 4893
SRR6145059	k99_2697 	 4885
SRR6145059	k99_13669 	 4856
SRR6145059	k99_1841 	 4856
SRR6145059	k99_9835 	 4829
SRR6145059	k99_9453 	 4821
SRR6145059	k99_2420 	 4813
SRR6145059	k99_3913 	 4809
SRR6145059	k99_15327 	 4791
SRR6145059	k99_9752 	 4781
SRR6145059	k99_12750 	 4775
SRR6145059	k99_15057 	 4773
SRR6145059	k99_10691 	 4769
SRR6145059	k99_15698 	 4762
SRR6145059	k99_11483 	 4758
SRR6145059	k99_5500 	 4751
SRR6145059	k99_11207 	 4749
SRR6145059	k99_9955 	 4740
SRR6145059	k99_2394 	 4739
SRR6145059	k99_7812 	 4739
SRR6145059	k99_7498 	 4730
SRR6145059	k99_6810 	 4698
SRR6145059	k99_13663 	 4691
SRR6145059	k99_2034 	 4675
SRR6145059	k99_1630 	 4669
SRR6145059	k99_11458 	 4661
SRR6145059	k99_13997 	 4650
SRR6145059	k99_10578 	 4585
SRR6145059	k99_2234 	 4578
SRR6145059	k99_4699 	 4557
SRR6145059	k99_11354 	 4550
SRR6145059	k99_14478 	 4525
SRR6145059	k99_8608 	 4499
SRR6145059	k99_9559 	 4498
SRR6145059	k99_2598 	 4480
SRR6145059	k99_5400 	 4473
SRR6145059	k99_2958 	 4464
SRR6145059	k99_8931 	 4450
SRR6145059	k99_9584 	 4443
SRR6145059	k99_2693 	 4441
SRR6145059	k99_13509 	 4436
SRR6145059	k99_10160 	 4435
SRR6145059	k99_7939 	 4418
SRR6145059	k99_2558 	 4418
SRR6145059	k99_3704 	 4406
SRR6145059	k99_14083 	 4393
SRR6145059	k99_13457 	 4369
SRR6145059	k99_7860 	 4364
SRR6145059	k99_6403 	 4360
SRR6145059	k99_13219 	 4359
SRR6145059	k99_12639 	 4350
SRR6145059	k99_4619 	 4333
SRR6145059	k99_13433 	 4307
SRR6145059	k99_9579 	 4305
SRR6145059	k99_3301 	 4293
SRR6145059	k99_4875 	 4282
SRR6145059	k99_14014 	 4282
SRR6145059	k99_14160 	 4267
SRR6145059	k99_8271 	 4264
SRR6145059	k99_9701 	 4239
SRR6145059	k99_14514 	 4218
SRR6145059	k99_15214 	 4215
SRR6145059	k99_13239 	 4196
SRR6145059	k99_15413 	 4192
SRR6145059	k99_2415 	 4172
SRR6145059	k99_10536 	 4129
SRR6145059	k99_10120 	 4124
SRR6145059	k99_8149 	 4100
SRR6145059	k99_11128 	 4091
SRR6145059	k99_8034 	 4086
SRR6145059	k99_14466 	 4080
SRR6145059	k99_11031 	 4074
SRR6145059	k99_6824 	 4066
SRR6145059	k99_1855 	 4064
SRR6145059	k99_11731 	 4049
SRR6145059	k99_15406 	 4049
SRR6145059	k99_10607 	 4049
SRR6145059	k99_10666 	 4037
SRR6145059	k99_2523 	 4024
SRR6145059	k99_10817 	 4021
SRR6145059	k99_5372 	 4010
SRR6145059	k99_13751 	 3975
SRR6145059	k99_7661 	 3974
SRR6145059	k99_11999 	 3970
SRR6145059	k99_15739 	 3954
SRR6145059	k99_1774 	 3951
SRR6145059	k99_12082 	 3950
SRR6145059	k99_11183 	 3931
SRR6145059	k99_12877 	 3922
SRR6145059	k99_5901 	 3919
SRR6145059	k99_1836 	 3894
SRR6145059	k99_5017 	 3887
SRR6145059	k99_7786 	 3870
SRR6145059	k99_8657 	 3843
SRR6145059	k99_6569 	 3833
SRR6145059	k99_9068 	 3819
SRR6145059	k99_6667 	 3800
SRR6145059	k99_2662 	 3785
SRR6145059	k99_5592 	 3784
SRR6145059	k99_2891 	 3781
SRR6145059	k99_3207 	 3777
SRR6145059	k99_10824 	 3777
SRR6145059	k99_1867 	 3774
SRR6145059	k99_7663 	 3771
SRR6145059	k99_12988 	 3764
SRR6145059	k99_6257 	 3749
SRR6145059	k99_14439 	 3732
SRR6145059	k99_4727 	 3730
SRR6145059	k99_5430 	 3721
SRR6145059	k99_11337 	 3720
SRR6145059	k99_9868 	 3698
SRR6145059	k99_5746 	 3686
SRR6145059	k99_13121 	 3658
SRR6145059	k99_7143 	 3653
SRR6145059	k99_4410 	 3649
SRR6145059	k99_2101 	 3639
SRR6145059	k99_5337 	 3635
SRR6145059	k99_15210 	 3615
SRR6145059	k99_1152 	 3615
SRR6145059	k99_13286 	 3611
SRR6145059	k99_6735 	 3602
SRR6145059	k99_1943 	 3589
SRR6145059	k99_1889 	 3579
SRR6145059	k99_12883 	 3551
SRR6145059	k99_3858 	 3550
SRR6145059	k99_14973 	 3543
SRR6145059	k99_7075 	 3526
SRR6145059	k99_12463 	 3504
SRR6145059	k99_5523 	 3503
SRR6145059	k99_11113 	 3499
SRR6145059	k99_14063 	 3489
SRR6145059	k99_3925 	 3486
SRR6145059	k99_11901 	 3478
SRR6145059	k99_3745 	 3467
SRR6145059	k99_12032 	 3459
SRR6145059	k99_3783 	 3442
SRR6145059	k99_5659 	 3441
SRR6145059	k99_14708 	 3439
SRR6145059	k99_3684 	 3428
SRR6145059	k99_4776 	 3416
SRR6145059	k99_5719 	 3406
SRR6145059	k99_15334 	 3387
SRR6145059	k99_4430 	 3373
SRR6145059	k99_8536 	 3363
SRR6145059	k99_6633 	 3358
SRR6145059	k99_5859 	 3357
SRR6145059	k99_14513 	 3355
SRR6145059	k99_1402 	 3351
SRR6145059	k99_11056 	 3341
SRR6145059	k99_5698 	 3336
SRR6145059	k99_4693 	 3333
SRR6145059	k99_10184 	 3325
SRR6145059	k99_2585 	 3313
SRR6145059	k99_13451 	 3310
SRR6145059	k99_12749 	 3309
SRR6145059	k99_4649 	 3308
SRR6145059	k99_2630 	 3293
SRR6145059	k99_9172 	 3293
SRR6145059	k99_6195 	 3292
SRR6145059	k99_3184 	 3290
SRR6145059	k99_4839 	 3280
SRR6145059	k99_13490 	 3251
SRR6145059	k99_14411 	 3244
SRR6145059	k99_13553 	 3239
SRR6145059	k99_5463 	 3234
SRR6145059	k99_9115 	 3231
SRR6145059	k99_8336 	 3229
SRR6145059	k99_2364 	 3229
SRR6145059	k99_14767 	 3222
SRR6145059	k99_3373 	 3215
SRR6145059	k99_12486 	 3213
SRR6145059	k99_2664 	 3208
SRR6145059	k99_5144 	 3177
SRR6145059	k99_3612 	 3176
SRR6145059	k99_11014 	 3173
SRR6145059	k99_3317 	 3167
SRR6145059	k99_6346 	 3139
SRR6145059	k99_9060 	 3117
SRR6145059	k99_1304 	 3114
SRR6145059	k99_3515 	 3099
SRR6145059	k99_3706 	 3096
SRR6145059	k99_11889 	 3091
SRR6145059	k99_1420 	 3091
SRR6145059	k99_12389 	 3082
SRR6145059	k99_7063 	 3080
SRR6145059	k99_7048 	 3078
SRR6145059	k99_1105 	 3073
SRR6145059	k99_4377 	 3047
SRR6145059	k99_15769 	 3044
SRR6145059	k99_6413 	 3042
SRR6145059	k99_13548 	 3026
SRR6145059	k99_15584 	 3018
SRR6145059	k99_2979 	 3006
SRR6145059	k99_2692 	 2997
SRR6145059	k99_2550 	 2981
SRR6145059	k99_10827 	 2976
SRR6145059	k99_1808 	 2971
SRR6145059	k99_7332 	 2960
SRR6145059	k99_4969 	 2959
SRR6145059	k99_3580 	 2944
SRR6145059	k99_9448 	 2943
SRR6145059	k99_15237 	 2942
SRR6145059	k99_14279 	 2941
SRR6145059	k99_7537 	 2939
SRR6145059	k99_2059 	 2931
SRR6145059	k99_4654 	 2930
SRR6145059	k99_10147 	 2930
SRR6145059	k99_15555 	 2923
SRR6145059	k99_8545 	 2923
SRR6145059	k99_3188 	 2923
SRR6145059	k99_3060 	 2921
SRR6145059	k99_11936 	 2921
SRR6145059	k99_13350 	 2906
SRR6145059	k99_4049 	 2900
SRR6145059	k99_2943 	 2897
SRR6145059	k99_6439 	 2896
SRR6145059	k99_3596 	 2895
SRR6145059	k99_3830 	 2894
SRR6145059	k99_9181 	 2893
SRR6145059	k99_6922 	 2885
SRR6145059	k99_6371 	 2878
SRR6145059	k99_9839 	 2876
SRR6145059	k99_9544 	 2873
SRR6145059	k99_4704 	 2872
SRR6145059	k99_1708 	 2869
SRR6145059	k99_7189 	 2865
SRR6145059	k99_5433 	 2860
SRR6145059	k99_6405 	 2853
SRR6145059	k99_7847 	 2852
SRR6145059	k99_3272 	 2851
SRR6145059	k99_15322 	 2843
SRR6145059	k99_7672 	 2828
SRR6145059	k99_15343 	 2821
SRR6145059	k99_14600 	 2816
SRR6145059	k99_1021 	 2810
SRR6145059	k99_6919 	 2805
SRR6145059	k99_11349 	 2802
SRR6145059	k99_5680 	 2790
SRR6145059	k99_3948 	 2783
SRR6145059	k99_3119 	 2782
SRR6145059	k99_4063 	 2773
SRR6145059	k99_13630 	 2770
SRR6145059	k99_12573 	 2766
SRR6145059	k99_6585 	 2758
SRR6145059	k99_1810 	 2754
SRR6145059	k99_4017 	 2752
SRR6145059	k99_1667 	 2752
SRR6145059	k99_12748 	 2742
SRR6145059	k99_10960 	 2736
SRR6145059	k99_1004 	 2724
SRR6145059	k99_3076 	 2724
SRR6145059	k99_15143 	 2723
SRR6145059	k99_2130 	 2722
SRR6145059	k99_2215 	 2718
SRR6145059	k99_2702 	 2713
SRR6145059	k99_12992 	 2707
SRR6145059	k99_1571 	 2700
SRR6145059	k99_6542 	 2695
SRR6145059	k99_1318 	 2682
SRR6145059	k99_9555 	 2682
SRR6145059	k99_8854 	 2674
SRR6145059	k99_2476 	 2665
SRR6145059	k99_10418 	 2662
SRR6145059	k99_2767 	 2659
SRR6145059	k99_8905 	 2656
SRR6145059	k99_8196 	 2653
SRR6145059	k99_3637 	 2637
SRR6145059	k99_11567 	 2636
SRR6145059	k99_13796 	 2632
SRR6145059	k99_3630 	 2625
SRR6145059	k99_8372 	 2621
SRR6145059	k99_7102 	 2621
SRR6145059	k99_12932 	 2618
SRR6145059	k99_4897 	 2614
SRR6145059	k99_1967 	 2608
SRR6145059	k99_13021 	 2603
SRR6145059	k99_13408 	 2601
SRR6145059	k99_2638 	 2593
SRR6145059	k99_3961 	 2590
SRR6145059	k99_13024 	 2590
SRR6145059	k99_13233 	 2587
SRR6145059	k99_5103 	 2583
SRR6145059	k99_3781 	 2583
SRR6145059	k99_8094 	 2582
SRR6145059	k99_951 	 2580
SRR6145059	k99_2759 	 2573
SRR6145059	k99_8942 	 2567
SRR6145059	k99_13307 	 2562
SRR6145059	k99_15559 	 2556
SRR6145059	k99_3231 	 2543
SRR6145059	k99_9670 	 2542
SRR6145059	k99_6568 	 2538
SRR6145059	k99_4931 	 2522
SRR6145059	k99_15524 	 2518
SRR6145059	k99_2219 	 2510
SRR6145059	k99_6074 	 2508
SRR6145059	k99_1121 	 2504
SRR6145059	k99_7937 	 2494
SRR6145059	k99_6688 	 2488
SRR6145059	k99_7622 	 2486
SRR6145059	k99_14862 	 2484
SRR6145059	k99_14012 	 2483
SRR6145059	k99_1089 	 2482
SRR6145059	k99_7162 	 2474
SRR6145059	k99_1167 	 2472
SRR6145059	k99_7597 	 2466
SRR6145059	k99_6813 	 2465
SRR6145059	k99_14518 	 2453
SRR6145059	k99_1627 	 2451
SRR6145059	k99_6110 	 2451
SRR6145059	k99_13817 	 2437
SRR6145059	k99_8558 	 2434
SRR6145059	k99_4557 	 2406
SRR6145059	k99_14285 	 2405
SRR6145059	k99_11096 	 2394
SRR6145059	k99_11216 	 2386
SRR6145059	k99_7863 	 2382
SRR6145059	k99_9148 	 2379
SRR6145059	k99_12851 	 2379
SRR6145059	k99_12975 	 2373
SRR6145059	k99_8941 	 2364
SRR6145059	k99_6766 	 2360
SRR6145059	k99_7816 	 2353
SRR6145059	k99_3473 	 2349
SRR6145059	k99_2605 	 2344
SRR6145059	k99_3338 	 2341
SRR6145059	k99_11805 	 2336
SRR6145059	k99_4219 	 2335
SRR6145059	k99_14406 	 2334
SRR6145059	k99_14487 	 2321
SRR6145059	k99_2872 	 2311
SRR6145059	k99_4220 	 2307
SRR6145059	k99_7532 	 2303
SRR6145059	k99_1132 	 2298
SRR6145059	k99_10615 	 2295
SRR6145059	k99_10724 	 2294
SRR6145059	k99_15488 	 2291
SRR6145059	k99_8737 	 2289
SRR6145059	k99_4353 	 2289
SRR6145059	k99_12370 	 2288
SRR6145059	k99_9344 	 2284
SRR6145059	k99_8976 	 2280
SRR6145059	k99_857 	 2279
SRR6145059	k99_3462 	 2277
SRR6145059	k99_4215 	 2276
SRR6145059	k99_8334 	 2270
SRR6145059	k99_13448 	 2268
SRR6145059	k99_2388 	 2249
SRR6145059	k99_10085 	 2249
SRR6145059	k99_11020 	 2238
SRR6145059	k99_2033 	 2236
SRR6145059	k99_9507 	 2212
SRR6145059	k99_6120 	 2208
SRR6145059	k99_5732 	 2206
SRR6145059	k99_1870 	 2205
SRR6145059	k99_6642 	 2200
SRR6145059	k99_8351 	 2195
SRR6145059	k99_12453 	 2182
SRR6145059	k99_14213 	 2167
SRR6145059	k99_2659 	 2164
SRR6145059	k99_7049 	 2162
SRR6145059	k99_4237 	 2151
SRR6145059	k99_9351 	 2150
SRR6145059	k99_12672 	 2149
SRR6145059	k99_6044 	 2148
SRR6145059	k99_8183 	 2146
SRR6145059	k99_9255 	 2141
SRR6145059	k99_1736 	 2136
SRR6145059	k99_14570 	 2136
SRR6145059	k99_2690 	 2134
SRR6145059	k99_8864 	 2133
SRR6145059	k99_12332 	 2128
SRR6145059	k99_4777 	 2103
