sample	contig	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids	taxid	name
SRR6145059	k99_3824	deepbgc	0.1.0	deepbgc	k99_3824_140-1045.1	140	1045	905	2	2	1	0.63915	antibacterial	0.86	0.06	0.17	0.27	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_3824_k99_3824_1;k99_3824_k99_3824_2	PF00289	PF02626;PF00289	1270	Micrococcus luteus
SRR6145059	k99_15401	deepbgc	0.1.0	deepbgc	k99_15401_3866-8543.1	3866	8543	4677	4	6	0	0.59064	antibacterial	0.76	0.06	0.17	0.24	NA	0	0.08	0.23	0.2	0.2	0	0.31	k99_15401_k99_15401_5;k99_15401_k99_15401_6;k99_15401_k99_15401_7;k99_15401_k99_15401_8	NA	PF00482;PF00482;PF00437;PF13191;PF13521;PF16968	134537	Paraburkholderia fungorum
SRR6145059	k99_10972	deepbgc	0.1.0	deepbgc	k99_10972_0-894.1	0	894	894	1	1	0	0.52117	antibacterial	0.87	0.06	0.17	0.26	RiPP	0	0	0.02	0.15	0.71	0.02	0.14	k99_10972_k99_10972_1	NA	PF03169	33010	Cutibacterium avidum
SRR6145059	k99_7937	deepbgc	0.1.0	deepbgc	k99_7937_489-1599.1	489	1599	1110	1	1	0	0.61654	antibacterial	0.9	0.01	0.04	0.09	Terpene	0.09	0.05	0.03	0.1	0.08	0	0.67	k99_7937_k99_7937_2	NA	PF01040	1747	Cutibacterium acnes
SRR6145059	k99_1167	deepbgc	0.1.0	deepbgc	k99_1167_2-1329.1	2	1329	1327	3	5	0	0.55341	antibacterial	0.85	0.04	0.12	0.16	RiPP	0	0.03	0.21	0.05	0.66	0.03	0.04	k99_1167_k99_1167_1;k99_1167_k99_1167_2;k99_1167_k99_1167_3	NA	PF13304;PF00005;PF02463;PF14019;PF17197	1091045	Cutibacterium acnes subsp. defendens ATCC 11828
SRR6145059	k99_4980	deepbgc	0.1.0	deepbgc	k99_4980_1690-6042.1	1690	6042	4352	5	19	3	0.72583	NA	0.39	0.42	0.22	0.03	NA	0.02	0.07	0.29	0.05	0.47	0.01	0.11	k99_4980_k99_4980_3;k99_4980_k99_4980_4;k99_4980_k99_4980_5;k99_4980_k99_4980_6;k99_4980_k99_4980_7	PF00171;PF08242;PF08241	PF04445;PF02527;PF00398;PF03848;PF07021;PF02475;PF01209;PF13489;PF05175;PF13847;PF10294;PF13649;PF08241;PF08242;PF01497;PF01032;PF00005;PF02463;PF00171	1747	Cutibacterium acnes
SRR6145059	k99_13845	deepbgc	0.1.0	deepbgc	k99_13845_1034-4514.1	1034	4514	3480	3	3	0	0.63612	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_13845_k99_13845_3;k99_13845_k99_13845_4;k99_13845_k99_13845_5	NA	PF12790;PF06996;PF05947	134537	Paraburkholderia fungorum
SRR6145059	k99_13845	deepbgc	0.1.0	deepbgc	k99_13845_17210-18437.1	17210	18437	1227	1	1	0	0.51257	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_13845_k99_13845_13	NA	PF05943	134537	Paraburkholderia fungorum
SRR6145059	k99_8271	deepbgc	0.1.0	deepbgc	k99_8271_145-2991.1	145	2991	2846	6	17	0	0.60337	antibacterial	0.76	0.09	0.16	0.29	NA	0.01	0.08	0.18	0.23	0.31	0.03	0.21	k99_8271_k99_8271_1;k99_8271_k99_8271_2;k99_8271_k99_8271_3;k99_8271_k99_8271_4;k99_8271_k99_8271_5;k99_8271_k99_8271_6	NA	PF00239;PF02796;PF13936;PF01047;PF08281;PF04297;PF13518;PF08279;PF13384;PF05225;PF12728;PF02661;PF00239;PF02796;PF13384;PF13936;PF13551	1234380	Cutibacterium acnes C1
SRR6145059	k99_1330	deepbgc	0.1.0	deepbgc	k99_1330_0-1660.1	0	1660	1660	2	3	0	0.55767	antibacterial	0.75	0.11	0.14	0.2	NA	0	0.07	0.44	0.24	0.11	0.02	0.14	k99_1330_k99_1330_1;k99_1330_k99_1330_2	NA	PF07992;PF02852;PF01497	1747	Cutibacterium acnes
SRR6145059	k99_8276	deepbgc	0.1.0	deepbgc	k99_8276_2-1280.1	2	1280	1278	1	2	1	0.7604	antibacterial	0.92	0.01	0.04	0.07	Polyketide	0	0.23	0.23	0.54	0	0	0	k99_8276_k99_8276_1	PF00501	PF13193;PF00501	1270	Micrococcus luteus
SRR6145059	k99_9584	deepbgc	0.1.0	deepbgc	k99_9584_2606-4443.1	2606	4443	1837	3	3	1	0.55612	antibacterial	0.55	0.03	0.46	0.13	Polyketide-Terpene	0	0.02	0	0.78	0	0.04	0.91	k99_9584_k99_9584_2;k99_9584_k99_9584_3;k99_9584_k99_9584_4	PF00348	PF02219;PF00348;PF01337	1747	Cutibacterium acnes
SRR6145059	k99_7860	deepbgc	0.1.0	deepbgc	k99_7860_2-4362.1	2	4362	4360	4	17	6	0.64883	antibacterial	0.71	0.08	0.13	0.23	Saccharide	0	0	0.16	0.03	0.02	0.76	0.03	k99_7860_k99_7860_1;k99_7860_k99_7860_2;k99_7860_k99_7860_3;k99_7860_k99_7860_4	PF00534;PF00984;PF04932;PF03720;PF02737;PF03721	PF00455;PF08220;PF03721;PF03446;PF03807;PF01210;PF02737;PF00984;PF03720;PF06993;PF04932;PF13477;PF13579;PF13439;PF13692;PF00534;PF13524	1747	Cutibacterium acnes
SRR6145059	k99_10400	deepbgc	0.1.0	deepbgc	k99_10400_975-1954.1	975	1954	979	2	3	0	0.62327	antibacterial	0.86	0.1	0.16	0.24	NA	0	0.09	0.06	0.38	0.2	0.03	0.29	k99_10400_k99_10400_2;k99_10400_k99_10400_3	NA	PF10698;PF10604;PF05088	1747	Cutibacterium acnes
SRR6145059	k99_13849	deepbgc	0.1.0	deepbgc	k99_13849_1-1179.1	1	1179	1178	2	2	0	0.60232	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_13849_k99_13849_1;k99_13849_k99_13849_2	NA	PF02653;PF02653	1270	Micrococcus luteus
SRR6145059	k99_11056	deepbgc	0.1.0	deepbgc	k99_11056_90-1940.1	90	1940	1850	2	3	0	0.65553	antibacterial	0.7	0.15	0.16	0.2	NA	0.01	0.03	0.17	0.25	0.47	0.01	0.08	k99_11056_k99_11056_1;k99_11056_k99_11056_2	NA	PF02390;PF13649;PF01416	1747	Cutibacterium acnes
SRR6145059	k99_10403	deepbgc	0.1.0	deepbgc	k99_10403_1-1221.1	1	1221	1220	2	4	1	0.55819	antibacterial	0.85	0.05	0.16	0.26	NA	0	0.09	0.23	0.26	0.19	0.03	0.25	k99_10403_k99_10403_1;k99_10403_k99_10403_2	PF00702	PF13419;PF00702;PF13242;PF03636	1747	Cutibacterium acnes
SRR6145059	k99_9181	deepbgc	0.1.0	deepbgc	k99_9181_2-1298.1	2	1298	1296	1	1	0	0.61918	antibacterial	0.8	0.04	0.16	0.46	Polyketide	0	0	0.01	0.92	0.01	0.01	0.05	k99_9181_k99_9181_1	NA	PF07690	1747	Cutibacterium acnes
SRR6145059	k99_5733	deepbgc	0.1.0	deepbgc	k99_5733_547-772.1	547	772	225	1	1	0	0.5178	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_5733_k99_5733_2	NA	PF11305	1270	Micrococcus luteus
SRR6145059	k99_7863	deepbgc	0.1.0	deepbgc	k99_7863_114-2381.1	114	2381	2267	3	5	0	0.71491	NA	0.42	0.03	0.28	0.16	NA	0	0.09	0.07	0.31	0.27	0.03	0.29	k99_7863_k99_7863_1;k99_7863_k99_7863_2;k99_7863_k99_7863_3	NA	PF00069;PF07714;PF14531;PF00545;PF01337	1747	Cutibacterium acnes
SRR6145059	k99_11385	deepbgc	0.1.0	deepbgc	k99_11385_5817-12621.1	5817	12621	6804	7	6	0	0.59116	antibacterial	0.87	0.06	0.17	0.27	NA	0	0.09	0.07	0.32	0.21	0.03	0.33	k99_11385_k99_11385_5;k99_11385_k99_11385_6;k99_11385_k99_11385_7;k99_11385_k99_11385_8;k99_11385_k99_11385_9;k99_11385_k99_11385_10;k99_11385_k99_11385_11	NA	PF09323;PF03065;PF01522;PF11139;PF01083;PF08237	1747	Cutibacterium acnes
SRR6145059	k99_12946	deepbgc	0.1.0	deepbgc	k99_12946_1-1156.1	1	1156	1155	1	1	0	0.5352	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_12946_k99_12946_1	NA	PF00500	333922	Betapapillomavirus
SRR6145059	k99_10085	deepbgc	0.1.0	deepbgc	k99_10085_398-1388.1	398	1388	990	1	5	1	0.52103	antibacterial	0.66	0.08	0.12	0.34	NRP	0.02	0.5	0.09	0.14	0.15	0	0.1	k99_10085_k99_10085_2	PF00561	PF05448;PF00326;PF12697;PF07859;PF00561	1747	Cutibacterium acnes
SRR6145059	k99_13852	deepbgc	0.1.0	deepbgc	k99_13852_2-1276.1	2	1276	1274	2	11	3	0.58193	cytotoxic	0.34	0.5	0.09	0.02	Terpene	0.11	0	0.08	0.25	0	0.35	0.56	k99_13852_k99_13852_1;k99_13852_k99_13852_2	PF01593;PF01266;PF01494	PF01208;PF00890;PF03486;PF00070;PF01494;PF07992;PF12831;PF01266;PF01134;PF13450;PF01593	1270	Micrococcus luteus
SRR6145059	k99_3162	deepbgc	0.1.0	deepbgc	k99_3162_73-874.1	73	874	801	1	1	0	0.52656	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.25	0.07	0.43	0.18	0.03	0.26	k99_3162_k99_3162_1	NA	PF01510	1270	Micrococcus luteus
SRR6145059	k99_14425	deepbgc	0.1.0	deepbgc	k99_14425_2-1130.1	2	1130	1128	1	1	0	0.52636	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.38	0.19	0.03	0.29	k99_14425_k99_14425_1	NA	PF00920	134537	Paraburkholderia fungorum
SRR6145059	k99_4410	deepbgc	0.1.0	deepbgc	k99_4410_254-2468.1	254	2468	2214	1	1	0	0.53232	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_4410_k99_4410_2	NA	PF01841	1747	Cutibacterium acnes
SRR6145059	k99_1004	deepbgc	0.1.0	deepbgc	k99_1004_2-2722.1	2	2722	2720	5	8	2	0.68706	antibacterial	0.63	0.17	0.15	0.11	NA	0	0.03	0.13	0.12	0.27	0.03	0.44	k99_1004_k99_1004_1;k99_1004_k99_1004_2;k99_1004_k99_1004_3;k99_1004_k99_1004_4;k99_1004_k99_1004_5	PF00106;PF08659	PF00294;PF01081;PF00106;PF08659;PF13561;PF07992;PF00890;PF00890	1747	Cutibacterium acnes
SRR6145059	k99_2420	deepbgc	0.1.0	deepbgc	k99_2420_59-4813.1	59	4813	4754	6	14	5	0.96706	antibacterial	0.6	0.11	0.13	0.16	Polyketide	0	0.27	0.18	0.69	0	0	0.1	k99_2420_k99_2420_1;k99_2420_k99_2420_2;k99_2420_k99_2420_3;k99_2420_k99_2420_4;k99_2420_k99_2420_5;k99_2420_k99_2420_6	PF02801;PF08541;PF08545;PF00108;PF00109	PF12036;PF00092;PF13519;PF01168;PF11343;PF16197;PF02801;PF00109;PF00108;PF10501;PF00550;PF02797;PF08541;PF08545	1747	Cutibacterium acnes
SRR6145059	k99_14014	deepbgc	0.1.0	deepbgc	k99_14014_274-1998.1	274	1998	1724	2	6	3	0.6739	antibacterial	0.8	0.07	0.17	0.32	Polyketide	0.01	0.02	0.06	0.74	0.01	0.01	0.17	k99_14014_k99_14014_1;k99_14014_k99_14014_2	PF01370;PF00106;PF08659	PF13561;PF00106;PF08659;PF01370;PF13460;PF00440	134537	Paraburkholderia fungorum
SRR6145059	k99_6056	deepbgc	0.1.0	deepbgc	k99_6056_2-2506.1	2	2506	2504	5	7	0	0.63814	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_6056_k99_6056_1;k99_6056_k99_6056_2;k99_6056_k99_6056_3;k99_6056_k99_6056_4;k99_6056_k99_6056_5	NA	PF00482;PF00482;PF14029;PF07811;PF14208;PF13400;PF07811	1747	Cutibacterium acnes
SRR6145059	k99_3996	deepbgc	0.1.0	deepbgc	k99_3996_2-1124.1	2	1124	1122	2	5	2	0.51582	antibacterial	0.61	0.15	0.24	0.09	NA	0.04	0.3	0.41	0.22	0.01	0.15	0.03	k99_3996_k99_3996_1;k99_3996_k99_3996_2	PF00155;PF01041	PF13380;PF01053;PF00266;PF00155;PF01041	1270	Micrococcus luteus
SRR6145059	k99_7537	deepbgc	0.1.0	deepbgc	k99_7537_0-1128.1	0	1128	1128	2	5	2	0.60472	antibacterial	0.8	0.02	0.16	0.05	NA	0.01	0.04	0.07	0.05	0.38	0.03	0.43	k99_7537_k99_7537_1;k99_7537_k99_7537_2	PF00106;PF08659	PF14721;PF00106;PF08659;PF16363;PF13561	1747	Cutibacterium acnes
SRR6145059	k99_4654	deepbgc	0.1.0	deepbgc	k99_4654_606-2031.1	606	2031	1425	1	1	0	0.60496	antibacterial	0.8	0.04	0.16	0.46	Polyketide	0	0	0.01	0.92	0.01	0.01	0.05	k99_4654_k99_4654_2	NA	PF07690	1747	Cutibacterium acnes
SRR6145059	k99_6470	deepbgc	0.1.0	deepbgc	k99_6470_2-8159.1	2	8159	8157	8	24	6	0.73201	NA	0.3	0.4	0.16	0.01	NA	0.01	0.01	0.15	0.49	0.02	0.16	0.32	k99_6470_k99_6470_1;k99_6470_k99_6470_2;k99_6470_k99_6470_3;k99_6470_k99_6470_4;k99_6470_k99_6470_5;k99_6470_k99_6470_6;k99_6470_k99_6470_7;k99_6470_k99_6470_8	PF02770;PF01494;PF08028;PF01266;PF00441;PF02771	PF01614;PF02771;PF02770;PF00441;PF08028;PF02515;PF01012;PF01012;PF00766;PF01494;PF03486;PF07992;PF01946;PF05834;PF12831;PF01266;PF00890;PF01134;PF00070;PF13450;PF05187;PF13187;PF13237;PF02133	1747	Cutibacterium acnes
SRR6145059	k99_10156	deepbgc	0.1.0	deepbgc	k99_10156_0-1398.1	0	1398	1398	1	4	0	0.5285	antibacterial	0.7	0.05	0.15	0.14	RiPP	0	0.02	0.22	0.02	0.74	0	0	k99_10156_k99_10156_1	NA	PF00664;PF00005;PF13191;PF02463	1270	Micrococcus luteus
SRR6145059	k99_6142	deepbgc	0.1.0	deepbgc	k99_6142_0-1286.1	0	1286	1286	2	2	0	0.53794	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_6142_k99_6142_1;k99_6142_k99_6142_2	NA	PF02628;PF13088	1747	Cutibacterium acnes
SRR6145059	k99_3076	deepbgc	0.1.0	deepbgc	k99_3076_0-2064.1	0	2064	2064	1	1	0	0.56056	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_3076_k99_3076_1	NA	PF04185	1747	Cutibacterium acnes
SRR6145059	k99_9997	deepbgc	0.1.0	deepbgc	k99_9997_1-1216.1	1	1216	1215	1	1	0	0.70182	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.34	0.2	0.03	0.32	k99_9997_k99_9997_1	NA	PF07730	1270	Micrococcus luteus
SRR6145059	k99_10576	deepbgc	0.1.0	deepbgc	k99_10576_0-4215.1	0	4215	4215	5	7	2	0.59445	inhibitor	0.28	0.05	0.64	0.06	Polyketide	0	0.2	0.07	0.76	0.02	0.02	0.02	k99_10576_k99_10576_1;k99_10576_k99_10576_2;k99_10576_k99_10576_3;k99_10576_k99_10576_4;k99_10576_k99_10576_5	PF08240;PF00107	PF01195;PF02826;PF13602;PF00107;PF01262;PF08240;PF13367	1747	Cutibacterium acnes
SRR6145059	k99_3170	deepbgc	0.1.0	deepbgc	k99_3170_1-1030.1	1	1030	1029	1	3	1	0.55458	antibacterial	0.76	0.06	0.15	0.25	Saccharide	0	0.03	0.05	0.14	0.07	0.66	0.06	k99_3170_k99_3170_1	PF00534	PF13524;PF00534;PF13692	1234380	Cutibacterium acnes C1
SRR6145059	k99_8936	deepbgc	0.1.0	deepbgc	k99_8936_1-1226.1	1	1226	1225	2	3	1	0.69415	antibacterial	0.92	0.01	0.04	0.07	Polyketide	0	0.23	0.23	0.54	0	0	0	k99_8936_k99_8936_1;k99_8936_k99_8936_2	PF00501	PF04703;PF13193;PF00501	1270	Micrococcus luteus
SRR6145059	k99_7627	deepbgc	0.1.0	deepbgc	k99_7627_0-1053.1	0	1053	1053	1	1	0	0.55136	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.08	0.14	0.32	0.18	0.03	0.29	k99_7627_k99_7627_1	NA	PF01425	1270	Micrococcus luteus
SRR6145059	k99_6633	deepbgc	0.1.0	deepbgc	k99_6633_442-3357.1	442	3357	2915	4	7	0	0.57468	antibacterial	0.81	0.07	0.1	0.2	NA	0	0.05	0.19	0.29	0.35	0.01	0.16	k99_6633_k99_6633_1;k99_6633_k99_6633_2;k99_6633_k99_6633_3;k99_6633_k99_6633_4	NA	PF00196;PF08281;PF04545;PF13412;PF00072;PF00528;PF00528	1747	Cutibacterium acnes
SRR6145059	k99_7460	deepbgc	0.1.0	deepbgc	k99_7460_2-1091.1	2	1091	1089	2	2	0	0.54543	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_7460_k99_7460_1;k99_7460_k99_7460_2	NA	PF00370;PF00230	1747	Cutibacterium acnes
SRR6145059	k99_7703	deepbgc	0.1.0	deepbgc	k99_7703_2-1314.1	2	1314	1312	2	2	1	0.57122	antibacterial	0.86	0.07	0.17	0.25	NRP	0	0.69	0.03	0.08	0.06	0.01	0.15	k99_7703_k99_7703_1;k99_7703_k99_7703_2	PF03061	PF03061;PF02361	1270	Micrococcus luteus
SRR6145059	k99_14590	deepbgc	0.1.0	deepbgc	k99_14590_27140-32087.1	27140	32087	4947	5	18	3	0.77099	NA	0.35	0.44	0.28	0.05	NA	0.13	0.04	0.4	0.04	0.1	0.06	0.25	k99_14590_k99_14590_22;k99_14590_k99_14590_23;k99_14590_k99_14590_24;k99_14590_k99_14590_25;k99_14590_k99_14590_26	PF00583;PF08242;PF08241	PF07103;PF02353;PF05724;PF01209;PF13489;PF03848;PF05175;PF13847;PF13649;PF08241;PF08242;PF16036;PF00557;PF00583;PF13673;PF13508;PF13420;PF08445	134537	Paraburkholderia fungorum
SRR6145059	k99_14590	deepbgc	0.1.0	deepbgc	k99_14590_35211-49968.1	35211	49968	14757	8	19	6	0.63246	NA	0.41	0.12	0.37	0.11	NRP	0	1	0.01	0.02	0	0	0	k99_14590_k99_14590_32;k99_14590_k99_14590_33;k99_14590_k99_14590_34;k99_14590_k99_14590_35;k99_14590_k99_14590_36;k99_14590_k99_14590_37;k99_14590_k99_14590_38;k99_14590_k99_14590_39	PF02350;PF07993;PF01075;PF01370;PF00501;PF00668	PF00654;PF01075;PF02350;PF03825;PF13347;PF07690;PF00083;PF13103;PF03544;PF00668;PF00501;PF13193;PF00550;PF01370;PF16363;PF07993;PF01073;PF14698;PF00206	134537	Paraburkholderia fungorum
SRR6145059	k99_15403	deepbgc	0.1.0	deepbgc	k99_15403_2-21694.1	2	21694	21692	20	48	9	0.7688	antibacterial	0.63	0.17	0.12	0.18	NA	0.03	0.12	0.31	0.35	0.06	0.17	0.05	k99_15403_k99_15403_1;k99_15403_k99_15403_2;k99_15403_k99_15403_3;k99_15403_k99_15403_4;k99_15403_k99_15403_5;k99_15403_k99_15403_6;k99_15403_k99_15403_7;k99_15403_k99_15403_8;k99_15403_k99_15403_9;k99_15403_k99_15403_10;k99_15403_k99_15403_11;k99_15403_k99_15403_12;k99_15403_k99_15403_13;k99_15403_k99_15403_14;k99_15403_k99_15403_15;k99_15403_k99_15403_16;k99_15403_k99_15403_17;k99_15403_k99_15403_18;k99_15403_k99_15403_19;k99_15403_k99_15403_20	PF02770;PF07993;PF08028;PF02719;PF01370;PF00171;PF00441;PF04321;PF02771	PF02518;PF00072;PF00196;PF04545;PF08281;PF13384;PF13936;PF00072;PF02322;PF01654;PF02515;PF06808;PF03553;PF03600;PF03606;PF02771;PF02770;PF00441;PF08028;PF09339;PF12802;PF01614;PF11066;PF04321;PF05368;PF01370;PF13460;PF16363;PF01073;PF02719;PF07993;PF07690;PF13347;PF14833;PF03446;PF02826;PF03807;PF07991;PF03328;PF00224;PF00171;PF07729;PF00392;PF07690;PF00083;PF00701;PF08666;PF04295	134537	Paraburkholderia fungorum
SRR6145059	k99_10817	deepbgc	0.1.0	deepbgc	k99_10817_2-3497.1	2	3497	3495	3	5	0	0.58592	antibacterial	0.86	0.05	0.17	0.2	NA	0	0.06	0.13	0.2	0.43	0	0.2	k99_10817_k99_10817_1;k99_10817_k99_10817_2;k99_10817_k99_10817_3	NA	PF08570;PF00664;PF02322;PF14256;PF01654	1234380	Cutibacterium acnes C1
SRR6145059	k99_14259	deepbgc	0.1.0	deepbgc	k99_14259_6144-6426.1	6144	6426	282	1	1	0	0.63702	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.09	0.07	0.33	0.21	0.03	0.32	k99_14259_k99_14259_14	NA	PF11984	9606	Homo sapiens
SRR6145059	k99_2751	deepbgc	0.1.0	deepbgc	k99_2751_0-1167.1	0	1167	1167	1	1	0	0.62995	antibacterial	0.87	0.06	0.17	0.26	NA	0	0.08	0.07	0.33	0.2	0.03	0.34	k99_2751_k99_2751_1	NA	PF06100	1747	Cutibacterium acnes
SRR6145059	k99_15739	deepbgc	0.1.0	deepbgc	k99_15739_1-3953.1	1	3953	3952	4	11	1	0.59786	antibacterial	0.62	0.08	0.23	0.11	NA	0	0.16	0.15	0.49	0.16	0.04	0.06	k99_15739_k99_15739_1;k99_15739_k99_15739_2;k99_15739_k99_15739_3;k99_15739_k99_15739_4	PF00107	PF07973;PF00196;PF08281;PF00072;PF02518;PF07730;PF13602;PF00107;PF16912;PF01262;PF02826	1747	Cutibacterium acnes
